alg	i	diff	solved	time	mem
Dancing Links	76	extreme	True	0.0141890049	362.623046875
Genetic Algorithm	76	extreme	False	39.7974309921	382.212890625
Simulated Annealing	76	extreme	True	19.0124781132	8.6953125
Depth-first search	77	extreme	True	0.1439170837	1117.8203125
Depth-first with AC3	77	extreme	True	0.0087959766	225.09375
Dancing Links	77	extreme	True	0.0178947449	362.623046875
Genetic Algorithm	77	extreme	False	34.2724230289	382.212890625
Simulated Annealing	77	extreme	True	1.7940647602	8.2265625
Depth-first search	78	extreme	True	0.9282619953	1264.5
Depth-first with AC3	78	extreme	True	0.0219430923	426.59375
Dancing Links	78	extreme	True	0.0144557953	362.623046875
Genetic Algorithm	78	extreme	False	39.0167768002	382.212890625
Simulated Annealing	78	extreme	False	434.8540410995	8.39453125
Depth-first search	79	extreme	True	0.2702190876	1213.7890625
Depth-first with AC3	79	extreme	True	0.0074579716	270.03125
Dancing Links	79	extreme	True	0.0165653229	362.623046875
Genetic Algorithm	79	extreme	False	37.1483042240	382.212890625
Simulated Annealing	79	extreme	True	13.4292991161	8.099609375
